year,state,dem_cand,dem_vote,rep_cand,rep_vote,tot_state_vote
1988,Indiana,"Dukakis, Michael",860643,"Bush, George H.W.",1297763,2168621
1988,Iowa,"Dukakis, Michael",670557,"Bush, George H.W.",545355,1225614
1988,Kansas,"Dukakis, Michael",422636,"Bush, George H.W.",554049,993044
1988,Kentucky,"Dukakis, Michael",580368,"Bush, George H.W.",734281,1322517
1988,Louisiana,"Dukakis, Michael",717460,"Bush, George H.W.",883702,1628202
1988,Maine,"Dukakis, Michael",243569,"Bush, George H.W.",307131,555035
1988,Maryland,"Dukakis, Michael",826304,"Bush, George H.W.",876167,1714358
1988,Massachusetts,"Dukakis, Michael",1401415,"Bush, George H.W.",1194635,2632801
1988,Michigan,"Dukakis, Michael",1675783,"Bush, George H.W.",1965486,3669163
1988,Minnesota,"Dukakis, Michael",1109471,"Bush, George H.W.",962337,2096790
1988,Mississippi,"Dukakis, Michael",363921,"Bush, George H.W.",557890,931527
1988,Missouri,"Dukakis, Michael",1001619,"Bush, George H.W.",1084953,2093228
1988,Montana,"Dukakis, Michael",168936,"Bush, George H.W.",190412,365674
1988,Nebraska,"Dukakis, Michael",259235,"Bush, George H.W.",397956,661465
1988,Nevada,"Dukakis, Michael",132738,"Bush, George H.W.",206040,343133
1988,New Hampshire,"Dukakis, Michael",163696,"Bush, George H.W.",281537,450525
1988,New Jersey,"Dukakis, Michael",1320352,"Bush, George H.W.",1743192,3099553
1988,New Mexico,"Dukakis, Michael",244497,"Bush, George H.W.",270341,521387
1988,New York,"Dukakis, Michael",3255487,"Bush, George H.W.",2838414,6485683
1988,North Carolina,"Dukakis, Michael",890167,"Bush, George H.W.",1237258,2134370
1988,North Dakota,"Dukakis, Michael",127739,"Bush, George H.W.",166559,297261
1988,Ohio,"Dukakis, Michael",1939629,"Bush, George H.W.",2416549,4393585
1988,Oklahoma,"Dukakis, Michael",483423,"Bush, George H.W.",678367,1171036
1988,Oregon,"Dukakis, Michael",616206,"Bush, George H.W.",560126,1201694
1988,Pennsylvania,"Dukakis, Michael",2194944,"Bush, George H.W.",2300087,4536251
1988,Rhode Island,"Dukakis, Michael",225123,"Bush, George H.W.",177761,404622
1988,South Carolina,"Dukakis, Michael",370554,"Bush, George H.W.",606443,986009
1988,South Dakota,"Dukakis, Michael",145560,"Bush, George H.W.",165415,312991
1988,Tennessee,"Dukakis, Michael",679794,"Bush, George H.W.",947233,1636250
1988,Texas,"Dukakis, Michael",2352748,"Bush, George H.W.",3036829,5427410
1988,Utah,"Dukakis, Michael",207343,"Bush, George H.W.",428442,647008
1988,Vermont,"Dukakis, Michael",115775,"Bush, George H.W.",124331,243328
